,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
3127,2008-09,2009-02-19,UCLA,20,Washington,22,1,85,76,9
3128,2008-09,2009-01-29,Gonzaga,20,Saint Mary's (CA),22,1,69,62,7
3129,1990-91,1990-11-30,Louisiana State,20,Texas,22,1,101,87,14
3130,2022-23,2023-02-04,Clemson,20,Miami (FL),23,0,74,78,-4
3131,2023-24,2024-01-16,Brigham Young,20,Iowa State,24,1,87,72,15
3132,2021-22,2022-03-06,Illinois,20,Iowa,24,1,74,72,2
3133,2018-19,2019-01-26,Mississippi,20,Iowa State,24,0,73,87,-14
3134,2019-20,2020-02-20,Iowa,20,Ohio State,25,1,85,76,9
3135,2012-13,2013-02-18,Pittsburgh,20,Notre Dame,25,0,42,51,-9
3136,2022-23,2023-02-04,Indiana,21,Purdue,1,1,79,74,5
3137,2003-04,2004-02-15,NC State,21,Duke,1,1,78,74,4
3138,1997-98,1998-01-03,Clemson,21,North Carolina,1,0,70,73,-3
3139,2016-17,2016-12-28,Oregon,21,UCLA,2,1,89,87,2
3140,2002-03,2003-03-02,Georgia,21,Kentucky,2,0,66,74,-8
3141,1995-96,1996-03-02,Louisville,21,Massachusetts,2,0,59,62,-3
3142,2021-22,2022-02-28,Texas,21,Baylor,3,0,61,68,-7
3143,2020-21,2021-02-14,Wisconsin,21,Michigan,3,0,59,67,-8
3144,2001-02,2002-01-23,Wake Forest,21,Maryland,3,0,63,85,-22
3145,2023-24,2024-01-23,Brigham Young,21,Houston,4,0,68,75,-7
3146,2006-07,2007-02-17,Boston College,21,North Carolina,4,0,72,77,-5
3147,1999-00,1999-12-22,Oklahoma,21,Cincinnati,4,0,57,72,-15
3148,1996-97,1997-01-14,Georgia,21,Kentucky,5,0,65,86,-21
3149,1994-95,1995-02-04,Georgia Tech,21,Maryland,5,1,100,91,9
