data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2018-09-22,2018,iowa state,akron,26,13,1,-19.5,,-19.5,,,
2018-09-22,2018,cincinnati,ohio,34,30,1,-7.0,,-7.0,,,
2018-09-22,2018,wake forest,notre dame,27,56,0,6.375,,6.375,,,
2018-09-22,2018,michigan,nebraska,56,10,1,-18.0,,-18.0,,,
2018-09-22,2018,toledo,nevada,63,44,1,-10.5,,-10.5,,,
2018-09-22,2018,missouri,georgia,29,43,0,14.75,,14.75,,,
2018-09-22,2018,purdue,boston college,30,13,1,6.5,,6.5,,,
2018-09-22,2018,maryland,minnesota,42,13,1,-2.0,,-2.0,,,
2018-09-22,2018,smu,navy,31,30,1,6.5,,6.5,,,
2018-09-22,2018,ole miss,kent state,38,17,1,-28.5,,-28.5,,,
2018-09-22,2018,rutgers,buffalo,13,42,0,6.0,,6.0,,,
2018-09-22,2018,north carolina,pittsburgh,38,35,1,3.0,,3.0,,,
2018-09-22,2018,virginia,louisville,27,3,1,-4.75,,-4.75,,,
2018-09-22,2018,stetson,marist,19,14,1
2018-09-22,2018,colgate,lafayette,45,0,1
2018-09-22,2018,dayton,davidson,42,21,1
2018-09-22,2018,bryant,robert morris,49,46,1
2018-09-22,2018,fordham,central connecticut,13,24,0
2018-09-22,2018,holy cross,dartmouth,14,34,0
2018-09-22,2018,valparaiso,truman state,20,34,0
2018-09-22,2018,north dakota state,delaware,38,10,1
2018-09-22,2018,georgetown,columbia,15,23,0
2018-09-22,2018,georgia state,western michigan,15,34,0,8.25,,8.25,,,
2018-09-22,2018,ball state,western kentucky,20,28,0,-3.0,,-3.0,,,
2018-09-22,2018,central michigan,maine,17,5,1
2018-09-22,2018,bowling green,miami (oh),23,38,0,6.5,,6.5,,,
2018-09-22,2018,cornell,yale,24,30,0
2018-09-22,2018,pennsylvania,lehigh,30,10,1
2018-09-22,2018,ut martin,austin peay,37,7,1
2018-09-22,2018,eastern illinois,tennessee state,40,41,0
2018-09-22,2018,montana,sacramento state,41,34,1
2018-09-22,2018,bethune-cookman,howard,35,41,0
2018-09-22,2018,colorado state,illinois state,19,35,0,-4.0,,-4.0,,,
2018-09-22,2018,james madison,william & mary,51,0,1
2018-09-22,2018,old dominion,virginia tech,49,35,1,28.25,,28.25,,,
