data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-09-14,2019,notre dame,new mexico,66,14,1,-34.75,,-34.75,,,
2019-09-14,2019,south dakota,houston christian,52,53,0
2019-09-14,2019,central michigan,akron,45,24,1,-2.5,,-2.5,,,
2019-09-14,2019,eastern illinois,illinois state,3,21,0
2019-09-14,2019,robert morris,dayton,31,34,0
2019-09-14,2019,ucf,stanford,45,27,1,-9.875,,-9.875,,,
2019-09-14,2019,western carolina,north greenville,20,17,1
2019-09-14,2019,south carolina,alabama,23,47,0,26.125,,26.125,,,
2019-09-14,2019,navy,east carolina,42,10,1,-7.375,,-7.375,,,
2019-09-14,2019,south alabama,memphis,6,42,0,20.5,,20.5,,,
2019-09-14,2019,ut san antonio,army,13,31,0,16.0,,16.0,,,
2019-09-14,2019,byu,usc,30,27,1,4.5,,4.5,,,
2019-09-14,2019,minnesota,georgia southern,35,32,1,-16.625,,-16.625,,,
2019-09-14,2019,tulsa,oklahoma state,21,40,0,14.0,,14.0,,,
2019-09-14,2019,northwestern,unlv,30,14,1,-18.75,,-18.75,,,
2019-09-14,2019,iowa state,iowa,17,18,0,1.5,,1.5,,,
2019-09-14,2019,arkansas,colorado state,55,34,1,-9.625,,-9.625,,,
2019-09-14,2019,delaware state,lincoln (pa),58,12,1
2019-09-14,2019,miami,bethune-cookman,63,0,1,-41.5,,-41.5,,,
2019-09-14,2019,james madison,morgan state,63,12,1
2019-09-14,2019,western illinois,montana state,14,23,0
2019-09-14,2019,western kentucky,louisville,21,38,0,10.5,,10.5,,,
2019-09-14,2019,michigan state,arizona state,7,10,0,-15.5,,-15.5,,,
2019-09-14,2019,ole miss,southeastern louisiana,40,29,1,-30.5,,-30.5,,,
2019-09-14,2019,morehead state,kentucky christian,73,34,1
2019-09-14,2019,jacksonville state,eastern washington,49,45,1
2019-09-14,2019,oregon state,cal poly,45,7,1,-16.5,,-16.5,,,
2019-09-14,2019,utah,idaho state,31,0,1,-37.5,,-37.5,,,
2019-09-14,2019,california,north texas,23,17,1,-14.25,,-14.25,,,
2019-09-14,2019,howard,hampton,20,41,0
2019-09-14,2019,bowling green,louisiana tech,7,35,0,12.75,,12.75,,,
